Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
,FIRST STATE BANK OF AGRA,COMMERCIAL BANK,STATE,"AGRA, KS",5/3/1935 ,FDIC,,PAYOUT,96,129,
,BLUE SPRINGS STATE BANK,COMMERCIAL BANK,STATE,"BLUE SPRINGS, MO",6/1/1935 ,FDIC,,PAYOUT,234,235,
,ANCHOR STATE BANK,COMMERCIAL BANK,STATE,"WEST MILWAUKEE, WI",6/4/1935 ,FDIC,,PAYOUT,718,891,
,STATE BANK OF SUAMICO,COMMERCIAL BANK,STATE,"SUAMICO, WI",6/24/1935 ,FDIC,,PAYOUT,128,161,
,THE FIRST NATIONAL BANK OF PENDER,COMMERCIAL BANK,FEDERAL,"PENDER, NE",6/29/1935 ,FDIC,,PAYOUT,195,301,
,BANK OF GRANTVILLE,COMMERCIAL BANK,STATE,"GRANTVILLE, GA",7/20/1935 ,FDIC,,PAYOUT,48,91,
,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,"MARIETTA, GA",7/22/1935 ,FDIC,,PAYOUT,132,227,
,THE FARMERS NATIONAL BANK OF SARDINIA,COMMERCIAL BANK,FEDERAL,"SARDINIA, OH",7/24/1935 ,FDIC,,PAYOUT,261,308,
,THE COMMERCIAL NATIONAL BANK OF BRADFORD,COMMERCIAL BANK,FEDERAL,"BRADFORD, PA",9/28/1935 ,FDIC,,PAYOUT,4621,5162,
,BUNA STATE BANK,COMMERCIAL BANK,STATE,"BUNA, TX",10/23/1935 ,FDIC,,PAYOUT,29,47,
,E. P. WILBUR TRUST COMPANY,COMMERCIAL BANK,STATE,"BETHLEHEM, PA",11/16/1935 ,FDIC,,ACQUISITION,4357,,
,PRESIDIO VALLEY BANK,COMMERCIAL BANK,STATE,"PRESIDIO, TX",11/18/1935 ,FDIC,,PAYOUT,49,73,
,LENNON STATE BANK,COMMERCIAL BANK,STATE,"LENNON, MI",11/26/1935 ,FDIC,,PAYOUT,74,79,
,BANK OF LINDEN,COMMERCIAL BANK,STATE,"LINDEN, WI",11/27/1935 ,FDIC,,PAYOUT,188,224,
,FARMERS BANK OF CHARLTON COUNTY,COMMERCIAL BANK,STATE,"KEYTESVILLE, MO",12/5/1935 ,FDIC,,PAYOUT,229,287,
,FRIENDSHIP STATE BANK,COMMERCIAL BANK,STATE,"FRIENDSHIP, WI",12/7/1935 ,FDIC,,PAYOUT,125,147,
,LIVINGSTON STATE BANK,COMMERCIAL BANK,STATE,"LIVINGSTON, NJ",12/14/1935 ,FDIC,,PAYOUT,72,91,
,THE FARMERS BANK,COMMERCIAL BANK,STATE,"WEST LOUISVILLE, KY",12/16/1935 ,FDIC,,PAYOUT,37,55,
,CITIZENS BANK OF ERWIN,COMMERCIAL BANK,STATE,"ERWIN, TN",1/10/1936 ,FDIC,,PAYOUT,95,159,
,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"ADAMS, TN",2/1/1936 ,FDIC,,PAYOUT,5,14,
,THE FIRST NATIONAL BANK OF CLINTON,COMMERCIAL BANK,FEDERAL,"CLINTON, OK",2/1/1936 ,FDIC,,ACQUISITION,437,,
,PEOPLES BANK,COMMERCIAL BANK,STATE,"COLE CAMP, MO",2/5/1936 ,FDIC,,PAYOUT,143,186,
,THE ANN ARBOR SAVINGS BANK,COMMERCIAL BANK,STATE,"ANN ARBOR, MI",2/15/1936 ,FDIC,,ACQUISITION,6758,,
,FARMERS & MECHANICS BANK,COMMERCIAL BANK,STATE,"ANN ARBOR, MI",2/15/1936 ,FDIC,,ACQUISITION,3734,,
,THE FIRST NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,"ANN ARBOR, MI",2/15/1936 ,FDIC,,ACQUISITION,1729,,
,MERCHANTS AND FARMERS BANK,COMMERCIAL BANK,STATE,"STARKVILLE, MS",2/17/1936 ,FDIC,,PAYOUT,142,213,
,COLUMBIA STATE BANK,COMMERCIAL BANK,STATE,"COLUMBIA CITY, IN",2/18/1936 ,FDIC,,PAYOUT,775,906,
,THE BANK OF HIGH HILL,COMMERCIAL BANK,STATE,"HIGH HILL, MO",2/20/1936 ,FDIC,,PAYOUT,93,106,
,FARMERS BANK OF LEONARD,COMMERCIAL BANK,STATE,"LEONARD, MO",2/27/1936 ,FDIC,,PAYOUT,51,69,
,PEOPLES BANK,COMMERCIAL BANK,STATE,"FRANKLINTON, KY",3/2/1936 ,FDIC,,PAYOUT,75,93,
,FARMERS AND MERCHANTS BANK OF LINN,COMMERCIAL BANK,STATE,"LINN, MO",3/5/1936 ,FDIC,,PAYOUT,198,228,
,CITIZENS BANK OF BOSWORTH,COMMERCIAL BANK,STATE,"BOSWORTH, MO",3/18/1936 ,FDIC,,ACQUISITION,80,,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"AMHERST, SD",3/18/1936 ,FDIC,,PAYOUT,59,56,
,BENJAMIN STATE BANK,COMMERCIAL BANK,STATE,"BENJAMIN, TX",3/18/1936 ,FDIC,,PAYOUT,181,254,
,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,"RILEY, KS",3/24/1936 ,FDIC,,ACQUISITION,71,,
,DONELSON BANK & TRUST CO.,COMMERCIAL BANK,STATE,"DONELSON, TN",3/25/1936 ,FDIC,,ACQUISITION,131,,
,CLIFTON STATE BANK,COMMERCIAL BANK,STATE,"CLIFTON, TN",3/27/1936 ,FDIC,,PAYOUT,22,30,
,THE EARL PARK STATE BANK,COMMERCIAL BANK,STATE,"EARL PARK, IN",3/28/1936 ,FDIC,,PAYOUT,134,181,
,LELAND COOPERATIVE BANK,COMMERCIAL BANK,STATE,"LELAND, IA",3/31/1936 ,FDIC,,PAYOUT,155,150,
,BANK OF HOLCOMB,COMMERCIAL BANK,STATE,"HOLCOMB, MS",3/31/1936 ,FDIC,,PAYOUT,11,23,
,CROSS PLAINS BANK,COMMERCIAL BANK,STATE,"CROSS PLAINS, TN",4/10/1936 ,FDIC,,PAYOUT,32,50,
,HARDIN BANK,COMMERCIAL BANK,STATE,"HARDIN, KY",4/18/1936 ,FDIC,,PAYOUT,53,72,
,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"REVILLO, SD",4/21/1936 ,FDIC,,PAYOUT,89,128,
,NORBORNE TRUST COMPANY,COMMERCIAL BANK,STATE,"NORBORNE, MO",4/22/1936 ,FDIC,,ACQUISITION,121,,
,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,"MILES, TX",4/23/1936 ,FDIC,,PAYOUT,103,202,
,GROWERS EXCHANGE BANK,COMMERCIAL BANK,STATE,"ST. JOSEPH, MO",5/9/1936 ,FDIC,,PAYOUT,43,53,
,FORD CITY STATE BANK,COMMERCIAL BANK,STATE,"FORD CITY, MO",5/13/1936 ,FDIC,,PAYOUT,50,62,
,FARMERS BANK OF NEW TRUXTON,COMMERCIAL BANK,STATE,"NEW TRUXTON, MO",5/14/1936 ,FDIC,,PAYOUT,53,71,
,KOSHKONONG STATE BANK,COMMERCIAL BANK,STATE,"KOSHKONONG, MO",5/23/1936 ,FDIC,,ACQUISITION,48,,
,WEST MONROE STATE BANK,COMMERCIAL BANK,STATE,"WEST MONROE, LA",5/23/1936 ,FDIC,,PAYOUT,410,520,
,HOLTON STATE BANK,COMMERCIAL BANK,STATE,"HOLTON, IN",5/28/1936 ,FDIC,,PAYOUT,171,204,
,THE CHRISTIAN COUNTY BANK,COMMERCIAL BANK,STATE,"OZARK, MO",6/5/1936 ,FDIC,,PAYOUT,297,339,
,COMMUNITY BANK,COMMERCIAL BANK,STATE,"SMITHTON, MO",6/5/1936 ,FDIC,,PAYOUT,50,75,
,THE PEOPLES STATE BANK OF FLAT ROCK,COMMERCIAL BANK,STATE,"FLAT ROCK, IL",6/17/1936 ,FDIC,,ACQUISITION,61,,
,CENTRAL BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"NEWARK, NJ",6/29/1936 ,FDIC,,ACQUISITION,361,,
,WALTON EQUITABLE BANK,COMMERCIAL BANK,STATE,"WALTON, KY",7/3/1936 ,FDIC,,ACQUISITION,235,,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"DENSMORE, KS",7/10/1936 ,FDIC,,PAYOUT,55,80,
,THE STATE BANK OF SARCOXIE,COMMERCIAL BANK,STATE,"SARCOXIE, MO",7/11/1936 ,FDIC,,ACQUISITION,99,,
,D'AURIA BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"NEWARK, NJ",7/15/1936 ,FDIC,,PAYOUT,1118,1245,
,THE EAST HAMPTON BANK & TRUST CO.,COMMERCIAL BANK,STATE,"EAST HAMPTON, CT",7/16/1936 ,FDIC,,PAYOUT,1050,1233,
,BANK OF MAGNOLIA,COMMERCIAL BANK,STATE,"MAGNOLIA, MO",8/14/1936 ,FDIC,,PAYOUT,58,70,
,CUMBERLAND BANK,COMMERCIAL BANK,STATE,"CUMBERLAND, IN",8/14/1936 ,FDIC,,PAYOUT,71,87,
,DURHAM STATE BANK,COMMERCIAL BANK,STATE,"DURHAM, MO",8/22/1936 ,FDIC,,ACQUISITION,124,,
,COMMERCIAL BANK OF STANBERRY,COMMERCIAL BANK,STATE,"STANBERRY, MO",8/31/1936 ,FDIC,,PAYOUT,128,173,
,THE WELLSVILLE BANK,COMMERCIAL BANK,STATE,"WELLSVILLE, MO",9/12/1936 ,FDIC,,PAYOUT,290,325,
,SECURITY BANK,COMMERCIAL BANK,STATE,"KINGFISHER, OK",9/15/1936 ,FDIC,,ACQUISITION,149,,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"TINDALL, MO",9/17/1936 ,FDIC,,PAYOUT,52,70,
,STOVER BANK,COMMERCIAL BANK,STATE,"STOVER, MO",10/3/1936 ,FDIC,,ACQUISITION,153,,
,DESOTO BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"MANSFIELD, LA",10/9/1936 ,FDIC,,PAYOUT,996,1169,
,THE UNION BANK,COMMERCIAL BANK,STATE,"UHRICHSVILLE, OH",10/27/1936 ,FDIC,,PAYOUT,1992,1906,
,BANK OF CAMBRIA,COMMERCIAL BANK,STATE,"CAMBRIA, WI",12/1/1936 ,FDIC,,ACQUISITION,317,,
,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,"PALMYRA, IN",12/5/1936 ,FDIC,,PAYOUT,297,350,
,SCOTTSBURG STATE BANK,COMMERCIAL BANK,STATE,"SCOTTSBURG, IN",12/5/1936 ,FDIC,,PAYOUT,491,563,
,THE UNION STATE BANK,COMMERCIAL BANK,STATE,"CROTHERSVILLE, IN",12/7/1936 ,FDIC,,PAYOUT,207,248,
,THE BREWSTER STATE BANK,COMMERCIAL BANK,STATE,"BREWSTER, KS",12/7/1936 ,FDIC,,ACQUISITION,75,,
,THE FIRST STATE BANK OF LIGNITE,COMMERCIAL BANK,STATE,"LIGNITE, ND",12/12/1936 ,FDIC,,PAYOUT,46,83,
,THE FIRST NATIONAL BANK OF CENTERVILLE,COMMERCIAL BANK,STATE,"CENTERVILLE, SD",12/18/1936 ,FDIC,,PAYOUT,506,569,
,THE FIRST INTERNATIONAL BANK OF WILLISTON,COMMERCIAL BANK,STATE,"WILLISTON, ND",12/19/1936 ,FDIC,,ACQUISITION,763,,
,FIRST INTERNATIONAL BANK,COMMERCIAL BANK,STATE,"MINOT, ND",12/19/1936 ,FDIC,,ACQUISITION,360,,
,NORTHERN AND DAKOTA TRUST COMPANY,COMMERCIAL BANK,STATE,"FARGO, ND",12/19/1936 ,FDIC,,ACQUISITION,479,,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"COTEAU, ND",12/21/1936 ,FDIC,,ACQUISITION,43,,
,THE CUMMINGS STATE BANK,COMMERCIAL BANK,STATE,"CUMMINGS, ND",12/21/1936 ,FDIC,,ACQUISITION,30,,
,BANK OF BERTHOLD,COMMERCIAL BANK,STATE,"BERTHOLD, ND",12/21/1936 ,FDIC,,ACQUISITION,84,,
,FIRST STATE BANK OF MAX,COMMERCIAL BANK,STATE,"MAX, ND",12/21/1936 ,FDIC,,ACQUISITION,100,,
,RESERVATION STATE BANK,COMMERCIAL BANK,STATE,"MAKOTI, ND",12/21/1936 ,FDIC,,ACQUISITION,78,,
,FIRST STATE BANK OF POWERS LAKE,COMMERCIAL BANK,STATE,"POWERS LAKE, ND",12/21/1936 ,FDIC,,ACQUISITION,76,,
,CENTRAL STATE BANK OF SHERMAN,COMMERCIAL BANK,STATE,"SHERMAN, TX",12/31/1936 ,FDIC,,PAYOUT,219,312,
,BANK OF HOUGHTON,COMMERCIAL BANK,STATE,"HOUGHTON, SD",1/12/1937 ,FDIC,,PAYOUT,50,82,
,SARGENT COUNTY BANK,COMMERCIAL BANK,STATE,"FORMAN, ND",1/14/1937 ,FDIC,,ACQUISITION,154,,
,FARMERS BANK OF TRENTON,COMMERCIAL BANK,STATE,"TRENTON, MO",2/10/1937 ,FDIC,,PAYOUT,323,335,
,AKASKA STATE BANK,COMMERCIAL BANK,STATE,"AKASKA, SD",2/18/1937 ,FDIC,,PAYOUT,62,92,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"CORSICA, SD",2/18/1937 ,FDIC,,PAYOUT,164,205,
,THE FIRST NATIONAL BANK OF ISMAY,COMMERCIAL BANK,FEDERAL,"ISMAY, MT",2/20/1937 ,FDIC,,ACQUISITION,83,,
,THE CITIZENS STATE BANK OF LEBANON,COMMERCIAL BANK,STATE,"LEBANON, SD",2/20/1937 ,FDIC,,PAYOUT,112,154,
,RIO STATE BANK,COMMERCIAL BANK,STATE,"RIO, IL",3/26/1937 ,FDIC,,PAYOUT,329,384,
,FIRST INTERNATIONAL BANK,COMMERCIAL BANK,STATE,"NOONAN, ND",4/3/1937 ,FDIC,,PAYOUT,139,192,
,TEXAS STATE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"CORPUS CHRISTI, TX",4/8/1937 ,FDIC,,PAYOUT,419,628,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"ARLINGTON, TX",4/12/1937 ,FDIC,,PAYOUT,720,719,
,ROBBINS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"ROBBINS, TN",4/15/1937 ,FDIC,,ACQUISITION,29,,
,BANK OF EUREKA,COMMERCIAL BANK,STATE,"EUREKA, MO",4/23/1937 ,FDIC,,PAYOUT,57,70,
,WHITEWOOD BANKING COMPANY,COMMERCIAL BANK,STATE,"WHITEWOOD, SD",4/29/1937 ,FDIC,,PAYOUT,88,124,
,ST. ONGE STATE BANK,COMMERCIAL BANK,STATE,"ST. ONGE, SD",4/30/1937 ,FDIC,,PAYOUT,61,81,
,THE CITIZENS BANK,COMMERCIAL BANK,STATE,"BUCKLIN, MO",5/1/1937 ,FDIC,,PAYOUT,141,157,
,FARMERS & MERCHANTS TRUST BANK,COMMERCIAL BANK,STATE,"CAPE CHARLES, VA",5/22/1937 ,FDIC,,ACQUISITION,844,,
,THE FARMERS NATIONAL BANK OF GRAYVILLE,COMMERCIAL BANK,FEDERAL,"GRAYVILLE, IL",5/27/1937 ,FDIC,,ACQUISITION,258,,
,CARROLL EXCHANGE BANK,COMMERCIAL BANK,STATE,"CARROLLTON, MO",5/29/1937 ,FDIC,,ACQUISITION,787,,
,THE FIRST NATIONAL BANK OF MAHANOY CITY,COMMERCIAL BANK,FEDERAL,"MAHANOY CITY, PA",6/5/1937 ,FDIC,,ACQUISITION,2060,,
,COLOMA STATE BANK,COMMERCIAL BANK,STATE,"COLOMA, WI",6/14/1937 ,FDIC,,PAYOUT,79,94,
,THE ROMNEY BANK,COMMERCIAL BANK,STATE,"ROMNEY, IN",6/15/1937 ,FDIC,,PAYOUT,56,64,
,THE FIRST NATIONAL BANK OF PUKWANA,COMMERCIAL BANK,FEDERAL,"PUKWANA, SD",6/16/1937 ,FDIC,,ACQUISITION,127,,
,UNION STATE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"BRYAN, TX",6/16/1937 ,FDIC,,PAYOUT,302,359,
,THE STATE BANK OF MARCELLUS,COMMERCIAL BANK,STATE,"MARCELLUS, MI",6/17/1937 ,FDIC,,PAYOUT,64,95,
,HARDIN TRUST COMPANY,COMMERCIAL BANK,STATE,"HARDIN, MO",6/18/1937 ,FDIC,,PAYOUT,225,259,
,AMITE RIVER BANK,COMMERCIAL BANK,STATE,"DENHAM SPRINGS, LA",6/23/1937 ,FDIC,,PAYOUT,248,308,
,GHENT DEPOSIT BANK,COMMERCIAL BANK,STATE,"GHENT, KY",6/26/1937 ,FDIC,,PAYOUT,189,223,
,FIRST STATE BANK OF SOUTH SAN ANTONIO,COMMERCIAL BANK,STATE,"SAN ANTONIO, TX",6/29/1937 ,FDIC,,PAYOUT,490,514,
,THE TAYLOR NATIONAL BANK OF CAMPBELLSVILLE,COMMERCIAL BANK,FEDERAL,"CAMPBELLSVILLE, KY",6/30/1937 ,FDIC,,PAYOUT,914,1651,
,AMERICAN BANK,COMMERCIAL BANK,STATE,"HIGGINSVILLE, MO",7/3/1937 ,FDIC,,ACQUISITION,206,,
,BANK OF STURGIS,COMMERCIAL BANK,STATE,"STURGIS, KY",7/3/1937 ,FDIC,,PAYOUT,213,246,
,BANK OF ANUTT,COMMERCIAL BANK,STATE,"ANUTT, MO",7/12/1937 ,FDIC,,ACQUISITION,33,,
,CHATTOOGA COUNTY BANK,COMMERCIAL BANK,STATE,"SUMMERVILLE, GA",7/13/1937 ,FDIC,,PAYOUT,205,265,
,FARMERS STATE BANK OF BAINVILLE,COMMERCIAL BANK,STATE,"BAINVILLE, MT",7/13/1937 ,FDIC,,PAYOUT,54,104,
,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"NEWBERN, TN",7/17/1937 ,FDIC,,PAYOUT,189,264,
,"PEOPLES BANK OF BLOXOM, INC.",COMMERCIAL BANK,STATE,"BLOXOM, VA",7/19/1937 ,FDIC,,PAYOUT,63,101,
,MICHIGAN CITY TRUST & SAVINGS BANK,COMMERCIAL BANK,STATE,"MICHIGAN CITY, IN",7/20/1937 ,FDIC,,ACQUISITION,983,,
,FIRST BANK & TRUST COMPANY OF HAMILTON,COMMERCIAL BANK,STATE,"HAMILTON, MO",7/24/1937 ,FDIC,,PAYOUT,544,698,
,KOCHAN BANKING COMPANY,COMMERCIAL BANK,STATE,"MAYSVILLE, MO",8/5/1937 ,FDIC,,ACQUISITION,173,,
,THE BANK OF NOEL,COMMERCIAL BANK,STATE,"NOEL, MO",8/11/1937 ,FDIC,,PAYOUT,108,135,
,THE FIRST NATIONAL BANK OF ALBERTVILLE,COMMERCIAL BANK,FEDERAL,"ALBERTVILLE, AL",8/12/1937 ,FDIC,,ACQUISITION,428,,
,THE FORT GREENE NATIONAL BANK IN NEW YORK,COMMERCIAL BANK,FEDERAL,"BROOKLYN, NY",8/14/1937 ,FDIC,,PAYOUT,1987,2379,
,FARMERS AND MERCHANTS BANK,COMMERCIAL BANK,STATE,"BRILLION, WI",8/21/1937 ,FDIC,,ACQUISITION,159,,
,FARMERS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"CHARLES TOWN, WV",8/31/1937 ,FDIC,,PAYOUT,1361,1262,
,ROANOKE STATE BANK,COMMERCIAL BANK,STATE,"ROANOKE, IL",9/8/1937 ,FDIC,,PAYOUT,280,265,
,STONEHAM TRUST COMPANY,COMMERCIAL BANK,STATE,"STONEHAM, MA",9/11/1937 ,FDIC,,ACQUISITION,809,,
,THE BANK OF GALENA,COMMERCIAL BANK,STATE,"GALENA, MO",9/14/1937 ,FDIC,,PAYOUT,76,93,
,BURT STATE BANK,COMMERCIAL BANK,STATE,"BURT, ND",9/25/1937 ,FDIC,,PAYOUT,39,63,
,WESTWOOD TRUST COMPANY,COMMERCIAL BANK,STATE,"WESTWOOD, NJ",9/30/1937 ,FDIC,,ACQUISITION,648,,
,THE FIRST NATIONAL BANK OF LOVELADY,COMMERCIAL BANK,FEDERAL,"LOVELADY, TX",10/1/1937 ,FDIC,,ACQUISITION,78,,
,RINGGOLD STATE BANK,COMMERCIAL BANK,STATE,"RINGGOLD, TX",10/1/1937 ,FDIC,,PAYOUT,51,92,
,THE FIRST NATIONAL BANK OF PERTH AMBOY,COMMERCIAL BANK,FEDERAL,"PERTH AMBOY, NJ",10/2/1937 ,FDIC,,ACQUISITION,3660,,
,THE RARITAN TRUST COMPANY,COMMERCIAL BANK,STATE,"PERTH AMBOY, NJ",10/2/1937 ,FDIC,,PAYOUT,365,707,
,PERTH AMBOY TRUST COMPANY,COMMERCIAL BANK,STATE,"PERTH AMBOY, NJ",10/2/1937 ,FDIC,,PAYOUT,1344,2899,
,FARMERS STATE BANK OF CARLISLE,COMMERCIAL BANK,STATE,"CARLISLE, MN",10/7/1937 ,FDIC,,PAYOUT,82,99,
,STATE BANK OF MUNDELEIN,COMMERCIAL BANK,STATE,"MUNDELEIN, IL",10/18/1937 ,FDIC,,ACQUISITION,522,,
,THE FIRST NATIONAL BANK IN BURLINGTON,COMMERCIAL BANK,FEDERAL,"BURLINGTON, IA",10/20/1937 ,FDIC,,ACQUISITION,3594,,
,THE NESCOPECK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"NESCOPECK, PA",10/22/1937 ,FDIC,,PAYOUT,329,397,
,THE LITTLE FERRY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LITTLE FERRY, NJ",10/22/1937 ,FDIC,,ACQUISITION,744,,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"WYNDMERE, ND",10/23/1937 ,FDIC,,PAYOUT,72,100,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"BARBOURVILLE, KY",10/29/1937 ,FDIC,,PAYOUT,391,425,
,FARMERS & MERCHANTS BANK OF ELGIN,COMMERCIAL BANK,STATE,"ELGIN, ND",10/30/1937 ,FDIC,,PAYOUT,35,57,
,CARTER COUNTY COMMERCIAL BANK,COMMERCIAL BANK,STATE,"OLIVE HILL, KY",10/30/1937 ,FDIC,,PAYOUT,109,139,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"CENTER, ND",11/1/1937 ,FDIC,,PAYOUT,52,80,
,BANK OF ALBA,COMMERCIAL BANK,STATE,"ALBA, MO",11/1/1937 ,FDIC,,PAYOUT,79,97,
,COMMERCIAL BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"UNION CITY, IN",11/4/1937 ,FDIC,,PAYOUT,733,853,
,BANK OF SWIFTON,COMMERCIAL BANK,STATE,"SWIFTON, AR",11/19/1937 ,FDIC,,PAYOUT,157,208,
,FIRST STATE BANK OF COBDEN,COMMERCIAL BANK,STATE,"COBDEN, IL",11/24/1937 ,FDIC,,ACQUISITION,52,,
,LOGANVILLE STATE BANK,COMMERCIAL BANK,STATE,"LOGANVILLE, WI",11/27/1937 ,FDIC,,ACQUISITION,489,,
,STERLING STATE BANK,COMMERCIAL BANK,STATE,"STERLING, ND",11/30/1937 ,FDIC,,PAYOUT,84,121,
,PEOPLES UNITED BANK,COMMERCIAL BANK,STATE,"SOUTHPORT, NC",12/2/1937 ,FDIC,,ACQUISITION,162,,
,NEVADA TRUST COMPANY,COMMERCIAL BANK,STATE,"NEVADA, MO",12/2/1937 ,FDIC,,PAYOUT,189,242,
,BIG FALLS STATE BANK,COMMERCIAL BANK,STATE,"BIG FALLS, WI",12/17/1937 ,FDIC,,PAYOUT,85,103,
,FIRST NAT BK & TR CO. OF MANHASSET,COMMERCIAL BANK,FEDERAL,"MANHASSET, NY",12/20/1937 ,FDIC,,ACQUISITION,1214,,
,WORTHVILLE DEPOSIT BANK,COMMERCIAL BANK,STATE,"WORTHVILLE, KY",1/11/1938 ,FDIC,,PAYOUT,116,141,
,BANK OF DECATUR,COMMERCIAL BANK,STATE,"DECATUR, AR",1/19/1938 ,FDIC,,PAYOUT,84,97,
,FIRST STATE BANK OF WOLSEY,COMMERCIAL BANK,STATE,"WOLSEY, SD",1/21/1938 ,FDIC,,PAYOUT,90,123,
,THE WOODMAN STATE BANK,COMMERCIAL BANK,STATE,"WOODMAN, WI",1/22/1938 ,FDIC,,ACQUISITION,152,,
,BELLEVILLE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"BELLEVILLE, IL",1/26/1938 ,FDIC,,ACQUISITION,2795,,
,THE TROUT CREEK STATE BANK,COMMERCIAL BANK,STATE,"TROUT CREEK, MI",1/28/1938 ,FDIC,,PAYOUT,22,46,
,THE BANK OF FREMONT,COMMERCIAL BANK,STATE,"FREMONT, NC",1/29/1938 ,FDIC,,ACQUISITION,341,,
,POLLOCK STATE BANK,COMMERCIAL BANK,STATE,"POLLOCK, SD",2/1/1938 ,FDIC,,PAYOUT,56,103,
,THE FIRST STATE BANK OF LATHROP,COMMERCIAL BANK,STATE,"LATHROP, MO",2/1/1938 ,FDIC,,PAYOUT,125,163,
,FARMERS SECURITY BANK,COMMERCIAL BANK,STATE,"MAYWOOD, NE",2/1/1938 ,FDIC,,PAYOUT,186,213,
,BANK OF MARION,COMMERCIAL BANK,STATE,"MARION, AR",2/7/1938 ,FDIC,,PAYOUT,554,639,
,THE BRIGGSDALE STATE BANK,COMMERCIAL BANK,STATE,"BRIGGSDALE, CO",2/10/1938 ,FDIC,,PAYOUT,8,14,
